Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Seattle, WA metro area",16-Jul,$450K,-2.70%,9.80%,"5,185",-7.30%,-0.60%,"5,923",-7.80%,11.10%,"6,575",9.60%,-7.40%,8,0,-3,102.10%,-0.60%,0.90%
"Seattle, WA metro area",16-Aug,$450K,0.00%,9.10%,"5,351",3.20%,13.70%,"5,443",-8.10%,13.20%,"6,545",-0.50%,-8.00%,10,2,-4,101.40%,-0.60%,0.70%
"Seattle, WA metro area",14-Feb,$348K,5.50%,12.70%,"2,463",12.50%,0.90%,"3,438",7.80%,-7.20%,"6,521",0.00%,8.30%,39,-5,0,99.60%,0.60%,0.10%
"Seattle, WA metro area",14-Jan,$330K,-5.70%,13.80%,"2,189",-30.10%,-4.20%,"3,188",78.00%,-2.30%,"6,518",-2.60%,9.90%,44,10,4,99.00%,-0.20%,-0.20%
"Seattle, WA metro area",14-Mar,$343K,-1.50%,6.20%,"3,259",32.30%,-3.10%,"4,380",27.40%,-1.10%,"6,510",-0.20%,9.80%,22,-17,-1,99.90%,0.30%,-0.10%
"Seattle, WA metro area",19-Oct,$560K,3.70%,1.80%,"4,098",6.60%,7.00%,"3,788",-15.50%,-4.70%,"6,455",-12.40%,-22.80%,19,-2,-2,99.50%,0.00%,0.30%
"Seattle, WA metro area",18-Jun,$583K,-0.40%,11.10%,"5,108",4.90%,-8.40%,"6,395",-8.70%,-2.40%,"6,452",23.50%,31.30%,7,0,0,102.70%,-1.40%,-1.70%
"Seattle, WA metro area",13-Apr,$329K,1.90%,13.40%,"3,794",12.80%,20.50%,"4,879",10.10%,14.00%,"6,336",6.90%,-31.40%,15,-8,-32,100.50%,0.50%,2.10%
"Seattle, WA metro area",22-Sep,$765K,-1.90%,7.00%,"3,628",-4.40%,-32.10%,"4,036",0.90%,-25.40%,"6,294",3.30%,85.60%,21,6,14,98.70%,-0.20%,-5.00%
"Seattle, WA metro area",15-Apr,$400K,3.90%,12.70%,"4,397",14.20%,17.30%,"5,722",11.50%,14.20%,"6,185",6.20%,-8.50%,10,-6,-5,101.00%,0.50%,0.60%
"Seattle, WA metro area",19-Apr,$571K,2.00%,-1.60%,"4,181",25.60%,-1.20%,"5,663",6.00%,3.90%,"6,182",8.30%,61.30%,9,-10,2,100.40%,0.60%,-4.10%
"Seattle, WA metro area",15-Oct,$405K,1.30%,9.80%,"4,080",-6.90%,2.00%,"3,869",-11.10%,1.20%,"6,142",-9.80%,-26.70%,15,2,-12,100.40%,-0.10%,1.10%
"Seattle, WA metro area",12-Dec,$310K,-3.10%,17.00%,"3,097",-1.10%,14.70%,"1,786",-28.20%,-6.10%,"6,106",-11.20%,-42.30%,37,6,-30,99.00%,0.00%,1.40%
"Seattle, WA metro area",22-Aug,$780K,-2.30%,6.80%,"3,796",6.20%,-30.40%,"4,001",-20.00%,-24.90%,"6,094",-8.60%,82.60%,15,6,9,98.90%,-1.30%,-5.60%
"Seattle, WA metro area",13-Feb,$309K,6.60%,18.90%,"2,441",6.80%,6.80%,"3,703",13.50%,6.30%,"6,023",1.50%,-38.20%,39,-1,-36,99.50%,0.40%,1.90%
"Seattle, WA metro area",22-Jun,$825K,-3.20%,11.20%,"4,598",-5.30%,-24.70%,"6,264",3.60%,-4.20%,"6,009",47.60%,92.50%,6,1,0,102.90%,-4.10%,-4.20%
"Seattle, WA metro area",14-Dec,$367K,-2.30%,4.70%,"3,421",10.20%,9.20%,"1,793",-25.40%,0.10%,"6,000",-16.10%,-10.30%,37,6,3,99.20%,0.20%,0.00%
"Seattle, WA metro area",16-Jun,$463K,5.10%,11.40%,"5,595",15.50%,7.70%,"6,421",6.10%,13.10%,"5,997",15.90%,-13.40%,8,1,-2,102.60%,-0.40%,1.20%
"Seattle, WA metro area",13-Jan,$290K,-6.50%,14.00%,"2,285",-26.20%,19.70%,"3,262",82.60%,15.60%,"5,932",-2.80%,-41.40%,40,3,-28,99.20%,0.20%,1.80%
"Seattle, WA metro area",13-Mar,$323K,4.50%,18.60%,"3,364",37.80%,13.70%,"4,430",19.60%,7.10%,"5,927",-1.60%,-36.50%,23,-16,-46,100.00%,0.50%,2.00%
"Seattle, WA metro area",24-Sep,$825K,-0.20%,7.10%,"2,801",-12.00%,2.30%,"3,860",8.00%,12.60%,"5,872",5.50%,31.30%,17,5,5,99.80%,-0.30%,-0.10%
"Seattle, WA metro area",15-Mar,$385K,7.30%,12.30%,"3,851",47.20%,18.20%,"5,134",30.60%,17.20%,"5,826",0.80%,-10.50%,16,-23,-6,100.50%,0.80%,0.60%
"Seattle, WA metro area",15-Feb,$359K,-0.30%,3.10%,"2,616",14.30%,6.20%,"3,931",22.20%,14.30%,"5,782",0.70%,-11.30%,39,-3,0,99.70%,0.60%,0.10%
"Seattle, WA metro area",15-Jan,$360K,-1.80%,9.10%,"2,288",-33.10%,4.50%,"3,218",79.50%,0.90%,"5,741",-4.30%,-11.90%,42,5,-2,99.10%,0.00%,0.10%
"Seattle, WA metro area",22-Oct,$766K,0.20%,5.60%,"2,983",-17.80%,-39.90%,"2,856",-29.20%,-32.20%,"5,715",-9.20%,118.50%,21,0,14,98.50%,-0.20%,-5.20%
"Seattle, WA metro area",19-Mar,$560K,2.80%,0.00%,"3,328",16.90%,-12.90%,"5,343",74.80%,1.50%,"5,707",11.10%,87.10%,19,-20,12,99.80%,0.60%,-4.20%
"Seattle, WA metro area",17-Sep,$510K,-1.90%,13.30%,"4,761",-12.30%,-2.00%,"5,023",-8.00%,-4.60%,"5,639",5.00%,-17.20%,10,2,-1,101.80%,-0.70%,0.90%
"Seattle, WA metro area",16-Oct,$442K,-1.80%,9.10%,"4,510",-7.20%,10.50%,"3,611",-31.40%,-6.70%,"5,630",-17.30%,-8.30%,13,2,-2,100.90%,-0.10%,0.50%
"Seattle, WA metro area",24-Aug,$827K,-2.70%,4.70%,"3,182",-5.30%,0.40%,"3,575",-5.60%,6.00%,"5,568",1.50%,37.60%,12,4,4,100.10%,-0.50%,-0.30%
"Seattle, WA metro area",24-Jul,$850K,0.00%,9.00%,"3,360",4.00%,12.20%,"3,789",-12.40%,8.60%,"5,484",2.70%,40.20%,8,1,0,100.70%,-0.70%,-0.20%
"Seattle, WA metro area",24-Oct,$840K,1.90%,9.00%,"3,358",19.90%,28.60%,"3,252",-15.80%,25.90%,"5,418",-7.70%,29.40%,15,-2,3,99.90%,0.10%,-0.10%
"Seattle, WA metro area",17-Jul,$529K,0.90%,17.60%,"4,977",-10.70%,-4.00%,"5,717",-12.70%,-3.50%,"5,417",10.30%,-17.60%,8,1,0,103.40%,-0.90%,1.40%
"Seattle, WA metro area",18-Dec,$538K,-2.20%,1.50%,"3,130",-7.60%,-19.90%,"1,326",-50.40%,-20.30%,"5,377",-23.90%,124.90%,40,12,25,98.60%,-0.30%,-2.50%
"Seattle, WA metro area",17-Aug,$520K,-1.70%,15.60%,"5,431",9.10%,1.50%,"5,457",-4.50%,0.30%,"5,371",-0.80%,-17.90%,8,0,-2,102.50%,-0.90%,1.10%
"Seattle, WA metro area",24-Jun,$850K,-1.20%,6.30%,"3,231",-9.70%,-4.90%,"4,323",-15.50%,8.30%,"5,340",11.30%,41.70%,7,1,0,101.40%,-0.90%,0.20%
"Seattle, WA metro area",18-May,$585K,0.90%,14.70%,"4,869",15.10%,-4.10%,"7,001",28.50%,10.30%,"5,223",36.30%,26.50%,7,0,0,104.10%,-0.50%,-0.60%
"Seattle, WA metro area",16-May,$440K,2.30%,10.60%,"4,843",14.90%,4.90%,"6,051",1.80%,3.60%,"5,174",3.70%,-22.30%,7,-1,-2,103.10%,0.30%,1.70%
"Seattle, WA metro area",19-Jan,$520K,-3.30%,1.60%,"2,332",-25.50%,-7.80%,"3,231",143.70%,2.20%,"5,144",-4.30%,117.50%,48,8,32,98.40%,-0.10%,-2.90%
"Seattle, WA metro area",19-Feb,$545K,4.80%,2.80%,"2,847",22.10%,-1.50%,"3,057",-5.40%,-13.30%,"5,139",-0.10%,107.40%,39,-9,31,99.10%,0.70%,-4.40%
"Seattle, WA metro area",20-Aug,$630K,1.30%,12.50%,"5,028",-0.50%,9.30%,"5,993",-1.30%,34.90%,"5,133",0.50%,-30.80%,7,-1,-11,101.40%,0.20%,1.80%
"Seattle, WA metro area",20-Jul,$622K,1.10%,11.00%,"5,051",14.50%,5.20%,"6,070",14.70%,24.50%,"5,107",7.10%,-33.70%,8,-1,-6,101.20%,0.40%,1.30%
"Seattle, WA metro area",16-Apr,$430K,1.60%,7.50%,"4,214",5.50%,-4.20%,"5,944",11.60%,3.90%,"4,988",16.40%,-19.40%,8,0,-2,102.70%,0.50%,1.70%
"Seattle, WA metro area",20-Sep,$640K,1.60%,18.50%,"5,344",6.30%,39.00%,"5,708",-4.80%,27.40%,"4,923",-4.10%,-33.20%,7,0,-14,101.60%,0.20%,2.10%
"Seattle, WA metro area",17-Jun,$525K,2.90%,13.40%,"5,574",9.70%,-0.40%,"6,550",3.20%,2.00%,"4,913",19.00%,-18.10%,7,0,-1,104.40%,-0.30%,1.80%
"Seattle, WA metro area",20-May,$583K,-2.80%,-1.20%,"3,041",0.10%,-37.80%,"4,745",27.30%,-32.50%,"4,888",1.30%,-36.80%,10,4,1,100.40%,-1.00%,0.10%
"Seattle, WA metro area",20-Apr,$600K,1.30%,5.10%,"3,039",-19.90%,-27.30%,"3,726",-27.90%,-34.20%,"4,824",9.60%,-22.00%,6,-1,-3,101.50%,-0.30%,1.10%
"Seattle, WA metro area",15-Nov,$405K,0.00%,8.00%,"3,164",-22.50%,1.90%,"2,427",-37.30%,1.00%,"4,818",-21.60%,-32.60%,17,2,-14,100.30%,-0.10%,1.30%
"Seattle, WA metro area",24-May,$860K,1.20%,7.50%,"3,579",12.30%,10.80%,"5,116",19.70%,31.60%,"4,799",38.70%,42.10%,6,0,0,102.30%,-0.30%,0.90%
"Seattle, WA metro area",19-Nov,$555K,-0.90%,0.90%,"3,586",-12.50%,5.80%,"2,347",-38.00%,-12.10%,"4,792",-25.80%,-32.20%,24,5,-4,99.40%,-0.10%,0.50%
"Seattle, WA metro area",20-Jun,$615K,5.50%,6.00%,"4,413",45.10%,-7.90%,"5,292",11.50%,-4.50%,"4,767",-2.50%,-40.00%,9,-1,-2,100.80%,0.40%,0.50%
"Seattle, WA metro area",17-Oct,$510K,0.00%,15.40%,"4,637",-2.60%,2.80%,"4,074",-18.90%,12.80%,"4,697",-16.70%,-16.60%,10,0,-3,101.60%,-0.20%,0.70%
"Seattle, WA metro area",22-Nov,$735K,-4.10%,2.10%,"2,502",-16.10%,-45.10%,"1,898",-33.50%,-34.50%,"4,684",-18.00%,195.00%,25,4,19,98.00%,-0.50%,-6.00%
"Seattle, WA metro area",20-Oct,$635K,-0.80%,13.40%,"5,611",5.00%,36.90%,"5,204",-8.80%,37.40%,"4,656",-5.40%,-27.90%,7,0,-12,101.70%,0.10%,2.20%
"Seattle, WA metro area",23-Sep,$770K,-2.50%,0.70%,"2,739",-13.50%,-24.50%,"3,429",1.70%,-15.00%,"4,472",10.50%,-28.90%,12,4,-9,100.00%,-0.50%,1.20%
"Seattle, WA metro area",16-Nov,$455K,2.90%,12.30%,"4,164",-7.70%,31.60%,"2,707",-25.00%,11.50%,"4,443",-21.10%,-7.80%,15,2,-2,100.50%,-0.30%,0.20%
"Seattle, WA metro area",20-Mar,$593K,3.00%,5.80%,"3,793",27.00%,14.00%,"5,169",29.00%,-3.30%,"4,400",30.90%,-22.90%,7,-9,-12,101.80%,1.10%,2.00%
"Seattle, WA metro area",16-Mar,$423K,4.50%,9.90%,"3,994",43.40%,3.70%,"5,327",36.60%,3.80%,"4,285",8.30%,-26.50%,8,-5,-8,102.20%,1.00%,1.70%
"Seattle, WA metro area",24-Nov,$812K,-3.40%,4.80%,"2,658",-20.80%,20.60%,"1,810",-44.30%,0.20%,"4,258",-21.40%,21.20%,22,7,5,99.60%,-0.30%,0.10%
"Seattle, WA metro area",23-Oct,$771K,0.10%,0.60%,"2,611",-4.70%,-12.50%,"2,582",-24.70%,-9.60%,"4,187",-6.40%,-26.70%,12,0,-9,100.00%,0.10%,1.50%
"Seattle, WA metro area",17-May,$510K,2.00%,15.90%,"5,079",32.00%,4.90%,"6,348",26.30%,4.90%,"4,130",17.20%,-20.20%,7,0,0,104.70%,0.30%,1.60%
"Seattle, WA metro area",22-May,$852K,0.10%,15.10%,"4,853",6.30%,-7.30%,"6,048",5.50%,3.30%,"4,071",29.40%,50.20%,5,0,0,107.00%,-2.90%,-0.60%
"Seattle, WA metro area",23-Aug,$790K,1.30%,1.30%,"3,168",5.80%,-16.50%,"3,372",-3.30%,-15.70%,"4,047",3.50%,-33.60%,8,0,-7,100.50%,-0.40%,1.50%
"Seattle, WA metro area",16-Feb,$405K,-0.90%,12.80%,"2,786",18.20%,6.50%,"3,901",20.10%,-0.80%,"3,958",0.60%,-31.50%,13,-10,-26,101.20%,1.10%,1.50%
"Seattle, WA metro area",16-Jan,$409K,2.10%,13.50%,"2,357",-38.80%,3.00%,"3,247",73.90%,0.90%,"3,934",0.90%,-31.50%,23,0,-19,100.20%,0.20%,1.00%
"Seattle, WA metro area",23-Jul,$780K,-2.50%,-2.30%,"2,994",-11.90%,-16.20%,"3,488",-12.60%,-30.20%,"3,911",3.80%,-41.30%,8,1,-1,100.80%,-0.40%,0.60%
"Seattle, WA metro area",15-Dec,$400K,-1.20%,9.10%,"3,854",21.80%,12.70%,"1,867",-23.10%,4.10%,"3,898",-19.10%,-35.00%,23,6,-14,100.00%,-0.30%,0.80%
"Seattle, WA metro area",18-Apr,$580K,3.60%,16.00%,"4,231",10.70%,9.90%,"5,450",3.50%,8.40%,"3,833",25.70%,8.80%,7,0,0,104.50%,0.60%,0.20%
"Seattle, WA metro area",21-Jul,$750K,1.10%,20.60%,"5,717",-6.40%,13.20%,"6,053",-7.40%,-0.30%,"3,784",21.20%,-25.90%,6,0,-2,105.80%,-1.30%,4.60%
"Seattle, WA metro area",23-Jun,$800K,0.00%,-3.00%,"3,398",5.20%,-26.10%,"3,990",2.60%,-36.30%,"3,768",11.60%,-37.30%,7,1,1,101.20%,-0.20%,-1.70%
"Seattle, WA metro area",17-Apr,$500K,3.50%,16.30%,"3,849",-5.40%,-8.70%,"5,027",-2.10%,-15.40%,"3,524",8.40%,-29.40%,7,-1,-1,104.40%,1.10%,1.60%
"Seattle, WA metro area",23-Nov,$775K,0.50%,5.40%,"2,204",-15.60%,-11.90%,"1,807",-30.00%,-4.80%,"3,512",-16.10%,-25.00%,17,5,-8,99.50%,-0.50%,1.50%
"Seattle, WA metro area",22-Dec,$710K,-3.40%,-2.80%,"2,156",-13.80%,-44.00%,"1,065",-43.90%,-46.90%,"3,488",-25.50%,230.00%,32,7,25,97.80%,-0.20%,-6.40%
"Seattle, WA metro area",17-Nov,$525K,2.90%,15.40%,"4,145",-10.60%,-0.50%,"2,854",-29.90%,5.40%,"3,488",-25.70%,-21.50%,12,2,-3,101.20%,-0.40%,0.70%
"Seattle, WA metro area",24-Apr,$850K,3.00%,9.70%,"3,187",14.40%,16.90%,"4,275",14.00%,29.60%,"3,460",18.20%,8.30%,6,0,-1,102.60%,0.60%,1.70%
"Seattle, WA metro area",19-Dec,$570K,2.70%,5.90%,"3,731",4.00%,19.20%,"1,597",-32.00%,20.40%,"3,416",-28.70%,-36.50%,32,8,-8,99.30%,-0.10%,0.70%
"Seattle, WA metro area",20-Nov,$630K,-0.80%,13.50%,"4,496",-19.90%,25.40%,"3,006",-42.20%,28.10%,"3,393",-27.10%,-29.20%,7,0,-17,101.60%,0.00%,2.30%
"Seattle, WA metro area",21-Sep,$715K,-2.10%,11.70%,"5,347",-1.90%,0.10%,"5,408",1.50%,-5.30%,"3,391",1.60%,-31.10%,7,1,0,103.70%,-0.80%,2.10%
"Seattle, WA metro area",23-May,$800K,3.20%,-6.10%,"3,230",18.40%,-33.40%,"3,888",17.90%,-35.70%,"3,377",5.70%,-17.00%,6,-1,1,101.40%,0.40%,-5.60%
"Seattle, WA metro area",25-Jan,$775K,-1.80%,3.70%,"1,792",-24.80%,6.10%,"2,961",150.30%,30.60%,"3,365",7.20%,47.20%,38,10,2,99.40%,0.00%,-0.10%
"Seattle, WA metro area",20-Feb,$575K,4.50%,5.50%,"2,987",19.50%,4.90%,"4,007",25.10%,31.10%,"3,362",4.60%,-34.60%,16,-22,-23,100.60%,1.20%,1.50%
"Seattle, WA metro area",21-Aug,$730K,-2.70%,15.90%,"5,453",-4.60%,8.50%,"5,327",-12.00%,-11.10%,"3,338",-11.80%,-35.00%,6,0,-1,104.50%,-1.30%,3.10%
"Seattle, WA metro area",16-Dec,$460K,1.10%,15.00%,"3,884",-6.70%,0.80%,"1,840",-32.00%,-1.40%,"3,259",-26.60%,-16.40%,19,4,-4,100.60%,0.00%,0.60%
"Seattle, WA metro area",17-Mar,$483K,5.10%,14.20%,"4,069",42.00%,1.90%,"5,134",51.80%,-3.60%,"3,251",15.40%,-24.10%,8,-4,0,103.30%,1.20%,1.10%
"Seattle, WA metro area",20-Jan,$550K,-3.50%,5.70%,"2,499",-33.00%,7.20%,"3,202",100.50%,-0.90%,"3,214",-5.90%,-37.50%,38,6,-10,99.40%,0.10%,1.00%
"Seattle, WA metro area",23-Apr,$775K,4.70%,-8.90%,"2,727",-5.50%,-40.20%,"3,298",-10.00%,-42.50%,"3,196",1.70%,1.60%,7,-6,2,101.00%,0.90%,-8.90%
"Seattle, WA metro area",22-Apr,$851K,3.20%,18.20%,"4,564",2.70%,-9.20%,"5,732",-0.10%,-8.40%,"3,146",46.40%,6.30%,5,0,0,109.90%,-0.90%,2.40%
"Seattle, WA metro area",23-Mar,$740K,4.20%,-10.30%,"2,887",30.90%,-35.10%,"3,664",56.20%,-36.10%,"3,142",20.00%,46.20%,13,-20,8,100.10%,0.90%,-10.60%
"Seattle, WA metro area",24-Dec,$789K,-2.80%,5.20%,"2,384",-10.30%,22.30%,"1,183",-34.60%,13.20%,"3,139",-26.30%,27.10%,28,6,0,99.30%,-0.20%,0.30%
"Seattle, WA metro area",21-Jun,$742K,0.30%,20.70%,"6,105",16.60%,38.30%,"6,536",11.60%,23.50%,"3,121",15.10%,-34.50%,6,1,-3,107.10%,-0.50%,6.30%
"Seattle, WA metro area",18-Mar,$560K,5.70%,15.90%,"3,822",32.30%,-6.10%,"5,264",49.20%,2.50%,"3,050",23.10%,-6.20%,7,-1,-1,103.90%,0.40%,0.60%
"Seattle, WA metro area",17-Jan,$444K,-3.40%,8.80%,"2,907",-25.20%,23.30%,"3,090",67.90%,-4.80%,"3,008",-7.70%,-23.50%,26,7,3,100.60%,0.10%,0.50%
"Seattle, WA metro area",23-Jan,$720K,1.40%,0.00%,"1,551",-28.10%,-32.20%,"2,067",94.10%,-27.20%,"2,975",-14.70%,165.60%,43,11,37,98.00%,0.20%,-7.00%
"Seattle, WA metro area",21-Apr,$720K,2.90%,20.00%,"5,026",12.10%,65.40%,"6,258",12.60%,68.00%,"2,960",32.70%,-38.60%,5,-1,-1,107.50%,1.10%,6.00%
"Seattle, WA metro area",24-Mar,$825K,3.40%,11.50%,"2,786",23.90%,-3.50%,"3,750",18.00%,2.30%,"2,927",9.30%,-6.80%,6,-5,-7,102.00%,0.90%,2.00%
"Seattle, WA metro area",17-Feb,$460K,3.50%,13.60%,"2,865",-1.40%,2.80%,"3,382",9.40%,-13.30%,"2,816",-6.40%,-28.90%,12,-14,-1,102.10%,1.40%,0.90%
"Seattle, WA metro area",21-May,$740K,2.80%,26.90%,"5,236",4.20%,72.20%,"5,856",-6.40%,23.40%,"2,711",-8.40%,-44.50%,5,0,-5,107.60%,0.10%,7.20%
"Seattle, WA metro area",24-Feb,$798K,6.80%,12.40%,"2,248",33.10%,1.90%,"3,179",40.20%,35.50%,"2,679",17.20%,2.30%,11,-25,-22,101.20%,1.80%,2.00%
"Seattle, WA metro area",23-Feb,$710K,-1.40%,-5.50%,"2,206",42.20%,-18.90%,"2,346",13.50%,-40.60%,"2,618",-12.00%,82.10%,33,-10,28,99.20%,1.20%,-9.40%
"Seattle, WA metro area",21-Oct,$726K,1.50%,14.30%,"4,965",-7.10%,-11.50%,"4,215",-22.10%,-19.00%,"2,615",-22.90%,-43.80%,7,0,0,103.80%,0.10%,2.10%
"Seattle, WA metro area",18-Feb,$530K,3.50%,15.20%,"2,889",14.20%,0.80%,"3,527",11.60%,4.30%,"2,478",4.80%,-12.00%,8,-8,-4,103.50%,2.20%,1.40%
"Seattle, WA metro area",23-Dec,$750K,-3.20%,5.60%,"1,949",-11.60%,-9.60%,"1,045",-42.20%,-1.90%,"2,469",-29.70%,-29.20%,28,11,-4,99.10%,-0.40%,1.20%
"Seattle, WA metro area",20-Dec,$625K,-0.80%,9.60%,"4,442",-1.20%,19.10%,"2,499",-16.90%,56.50%,"2,445",-27.90%,-28.40%,9,2,-23,101.60%,-0.10%,2.30%
"Seattle, WA metro area",17-Dec,$530K,0.90%,15.20%,"3,907",-5.70%,0.60%,"1,664",-41.70%,-9.60%,"2,391",-31.50%,-26.60%,15,3,-4,101.00%,-0.20%,0.50%
"Seattle, WA metro area",18-Jan,$512K,-3.40%,15.20%,"2,530",-35.20%,-13.00%,"3,160",89.90%,2.30%,"2,365",-1.10%,-21.40%,16,1,-10,101.30%,0.30%,0.70%
"Seattle, WA metro area",21-Jan,$626K,0.20%,13.80%,"2,891",-34.90%,15.70%,"3,416",36.70%,6.70%,"2,300",-5.90%,-28.40%,10,1,-28,101.90%,0.30%,2.50%
"Seattle, WA metro area",24-Jan,$747K,-0.40%,3.80%,"1,689",-13.30%,8.90%,"2,267",116.90%,9.70%,"2,286",-7.40%,-23.20%,36,8,-7,99.40%,0.40%,1.40%
"Seattle, WA metro area",21-Feb,$655K,4.60%,13.90%,"3,169",9.60%,6.10%,"3,817",11.70%,-4.70%,"2,248",-2.30%,-33.10%,6,-4,-10,104.10%,2.30%,3.50%
"Seattle, WA metro area",21-Mar,$700K,6.90%,18.10%,"4,483",41.50%,18.20%,"5,558",45.60%,7.50%,"2,231",-0.80%,-49.30%,6,0,-1,106.40%,2.30%,4.70%
"Seattle, WA metro area",22-Mar,$825K,9.90%,17.90%,"4,446",63.40%,-0.80%,"5,738",45.20%,3.20%,"2,149",49.40%,-3.70%,5,0,-1,110.70%,2.10%,4.30%
"Seattle, WA metro area",21-Nov,$720K,-0.80%,14.30%,"4,556",-8.20%,1.30%,"2,897",-31.30%,-3.60%,"1,588",-39.30%,-53.20%,6,-1,-1,104.00%,0.30%,2.40%
"Seattle, WA metro area",22-Feb,$751K,4.30%,14.70%,"2,721",19.00%,-14.10%,"3,951",39.20%,3.50%,"1,438",28.40%,-36.00%,5,-1,-1,108.60%,3.60%,4.50%
"Seattle, WA metro area",22-Jan,$720K,-1.40%,15.00%,"2,286",-40.60%,-20.90%,"2,839",41.50%,-16.90%,"1,120",6.00%,-51.30%,6,-1,-4,105.00%,0.80%,3.20%
"Seattle, WA metro area",21-Dec,$730K,1.40%,16.80%,"3,849",-15.50%,-13.30%,"2,007",-30.70%,-19.70%,"1,057",-33.40%,-56.80%,7,1,-2,104.30%,0.20%,2.70%
